ID,Text,Etiqueta
433,si me dejas publicaré los vídeos donde te estoy cogiendo,Violento
434,siempre haces todo mal,Violento
435,pene pequeño ,Violento
436,micro miembro,Violento
437,me da lastima tu cosita,Violento
438,gorda,Violento
439,baja de peso gorda,Violento
440,te odio gorda,Violento
441,asquerosa gorda,Violento
442,puta gorda,Violento
443,con ese cuerpo quein te querra gorda,Violento
444,maldita puta,Violento
445,cara de la verga,Violento
446,estúpido,Violento
447,idiota,Violento
448,inutil,Violento
449,pendejo,Violento
450,mama verga,Violento
451,chucha tu madre,Violento
452,coño de la madre,Violento
453,hijo de re mil putas,Violento
454,gil,Violento
455,tonto,Violento
456,das asco,Violento
457,la concha de tu madre,Violento
458,la concha de la lora,Violento
459,putito,Violento
460,mama huevo,Violento
461,ya no puedo contigo puta,Violento
462,maldita perra,Violento
463,como te atreves a hacer eso sin mi permiso,Violento
464,no te di permiso,Violento
465,no te di permiso puta,Violento
466,no te quiero en mi vida ,Violento
467,perra te odio,Violento
468,maldita perra,Violento
469,maldicion como haces que ya no te ame,Violento
470,estas haciendo que deje de quererte,Violento
471,me odias verdad,Violento
472,ya no me quieres ,Violento
473,ya no me amas,Violento
474,ya no quieres etar conmigo,Violento
475,eres una basurilla,Violento
476,eres una perrita asquerosa,Violento
477,no te amo mas,Violento
478,no estoy sintiendo anda por ti,Violento
479,estoy aburrido de ti,Violento
480,me aburro en la relacion,Violento
481,quiero ams de ti,Violento
482,necesito mas de ti,Violento
483,dame todo de ti,Violento
484,me aburro cuando estoy contigo,Violento
485,me aburres mucho ,Violento
486,me aburro cuando estas y cuando no estas estoy bien,Violento
487,eres aburrida,Violento
488,te odio,Violento
489,no me gusta como te ves,Violento
490,arreglate mejor ,Violento
491,acuerdate de mi cuando no este,Violento
492,necesito tu ayuda con todo,Violento
493,cuando me mate ya reiras,Violento
494,cuando me mate te sentiras feliz ,Violento
495,me voy a matar,Violento
496,te voy a cortar,Violento
497,te voy a terminar si haces eso,Violento
498,te voy a terminar porque ya no puedo contigo,Violento
499,eres la peor persona del mundo,Violento
500,te quiero,No violento
501,eres muy lindo,No violento
502,te amo,No violento
503,me gustas,No violento
504,me encantas,No violento
505,muak,No violento
506,te mando besitos,No violento
507,quiero abrazarte,No violento
508,quiero besarte,No violento
509,quieres salir conmigo?,No violento
510,puedo ser tu novia?,No violento
511,eres atractivo,No violento
512,que romantico eres,No violento
513,pareces un osito,No violento
514,voy a mandarte flores,No violento
515,mi corazón es tuyo,No violento
516,pienso todo el día en ti,No violento
517,cuando te veo sonrio,No violento
518,cuando pienso en ti sonrio,No violento
519,tu eres lo ultimo que pienso antes de dormir,No violento
520,cuando despierto pienso en ti,No violento
521,cuando despierto imagino que estas a mi lado,No violento
522,me haces feliz,No violento
523,me haces bien,No violento
524,haces que me sienta comoda,No violento
525,haces que me ame a mi misma,No violento
526,me gusta mucho tu sonrisa,No violento
527,me gusta escucharte reír,No violento
528,me gusta ponerte nervioso,No violento
529,me gusta que me pongas nerviosa,No violento
530,quiero cuidarte,No violento
531,quiero protegerte,No violento
532,soy feliz contigo,No violento
533,cuando estoy contigo parece que se detiene el tiempo,No violento
534,eres muy tierno,No violento
535,te quiero tontito,No violento
536,te amo tontito,No violento
537,te amo tanto tontito,No violento
538,te quiero tontita,No violento
539,te adoro bb,No violento
540,mi bomboncito de chocolate,No violento
541,hola,No violento
542,como estas,No violento
543,como estas amor,No violento
544,como te sientes,No violento
545,que haces,No violento
546,como vas con al tarea,No violento
547,como estas bb,No violento
548,bb,No violento
549,bombon,No violento
550,bellota,No violento
551,princesa,No violento
552,principe,No violento
553,mi rey,No violento
554,mi amor,No violento
555,mi bebe,No violento
556,mi bb,No violento
557,mi amorcito ,No violento
558,te amo,No violento
559,te como,No violento
560,eres el amor d emi vida coraozn,No violento
561,corazon,No violento
562,muack,No violento
563,besitos,No violento
564,estoy saliendo del trabajo,No violento
565,te amo corazon,No violento
566,Pero no ma jajaja si lo hiciste completo,No violento
567,Va me avisas entonces,No violento
568,mandas el domingo o el lunes por muy tarde ?,No violento
569,Me gusta que dibujes corazones en las fotos que te mando,No violento
570,O yo te las mando a ti uwu,No violento
571,Te como corazón,No violento
572,Muak muak muak,No violento
573,Me encantas mi amor hermoso,No violento
574,Tendría que ser un viernes,No violento
575,No puedo miamor,No violento
576,Pues ven y abrazame,No violento
577,Quiere flores,No violento
578,Te como papi,No violento
579,Te amo mi amorcito te amo bonita,No violento
580,Me encantas,No violento
581,Me dormí como con 9%,No violento
582,Que bonito mi amor,No violento
583,No me di cuenta de que se había colgado,No violento
584,Mira me.pusieton de foto de perfil,No violento
585,No pasa nada amor mío,No violento
586,Cuando te vea te voy a comer,No violento
587,Jajaja Lokito miamor,No violento
588,Hola amor,No violento
589,Y luego me lave los dientes,No violento
590,Descansa papi,No violento
591,Voy a cocinar,No violento
592,Siempre te escucho,No violento
593,Pues si,No violento
594,De verdad te estaba esperando,No violento
595,Tardé mucho,No violento
596,Perdón mi vida,No violento
597,Eres lo mejor de mi vida miamor,No violento
598,Sueño bonito,No violento
599,Wenas noches,No violento
600,Te amo miamor,No violento
601,Estuve esperando para decirte buenas noches para que duermas,No violento
602,Tengo que cocinar,No violento
603,Tengo que irme,No violento
604,Era para alguien más?,No violento
605,Princesa si me dices,No violento
606,Hasta me enseñó vídeos tuyos,No violento
607,Me siento como Nando y los cerdos,No violento
608,Deja termino algo rápido,No violento
609,Son mis sueños,No violento
610,Ya termine tarea,No violento
611,Espérame,No violento
612,Y me dolió el corazón,No violento
613,Porque sueñas eso mi amor,No violento
614,Que cosa mi amor,No violento
615,Cada día estoy más enamorada de ti,No violento
616,Que soñaste cariño mio,No violento
617,Pero compensa cuando me tratas muy bonito,No violento
618,O cuando me dices bombón o corazón,No violento
619,porque tas desperta bb,No violento
620,Aunque yo no quiero ser grosera,No violento
621,Te amo más miamor,No violento
622,Te amo mucho,No violento
623,Pobrecito papi,No violento
624,Llámame por Whatsapp mi vida hrrmosa,No violento
625,Llámame por Whatsapp mi vida hermosa,No violento
626,Estoy en el server de la gris,No violento
627,Porque no estoy contigo,No violento
628,No pasa nada miamor,No violento
629,Porque así saludo,No violento
630,Obvio llora,No violento
631,Estaba limpiando la cocina,No violento
632,Haz tarea amor,No violento
633,Cómo que solo si quiero,No violento
634,Gracias mi amor,No violento
635,No pasa nada corazón,No violento
636,Yo te amo mucho más miamor,No violento
637,Voy a lavar platos,No violento
638,Gracias por las fotos mi amor,No violento
639,Mira que buenos tips,No violento
640,Salió reconectando,No violento
641,Y este video de verdad me encantó,No violento
642,eres todo eso y más miamor,No violento
643,Ya me iré a dormir perdon,No violento
644,Por lo que te envie,No violento
645,Aunque yo no me maquillo,No violento
646,Hola mi amor,No violento
647,me estoy durmiendo,No violento
648,Me gusta tu carita hermosa,No violento
649,Porke me gusta mucho,No violento
650,porque me gusta mucho,No violento
651,Porque lo vio muchas veces,No violento
652,Esto es de ayer creo que no te lo mandé corazón,No violento
653,Mi mano,No violento
654,Te amo más mi amor hermoso,No violento
655,Ya toy acostado nos dormimos,No violento
656,Y ácabo de matar dos pulgas que tenía mi perro,No violento
657,Porque me apagó la computadora,No violento
658,Este hijo de puta era el que me estaba picando,No violento
659,tu quieres hacer algo tengo tiempo,No violento
660,Fue por estudiar,No violento
661,Voy a pasear a mi perro,No violento
662,ya entiendo tu adicción,No violento
663,Porke estaba cansada,No violento
664,Estaba muy cansada,No violento
665,Ves ese niño me entiende,No violento
666,Esto me pasa a veces miamor,No violento
667,Pontela bien,No violento
668,Ya te conozco bien amor,No violento
669,De que iba a estar ocupada,No violento
670,Cuidate mucho,No violento
671,Me gusta hablar contigo,No violento
672,Provecho,No violento
673,Y luego se orina,No violento
674,Si la voy a llevar,No violento
675,Tengo que darle de comer a mi hermano,No violento
676,Es muy miedosa,No violento
677,Pues cuídala mucho,No violento
678,Pues lleva a tu madre a correr,No violento
679,Vayan todos,No violento
680,Hacen carrera,No violento
681,No le gusta,No violento
682,Osea le da miedo,No violento
683,No sé aleja mucho de la casa,No violento
684,Llegamos muy mejor y volteaba para atrás,No violento
685,Para ver supongo si venía mi madre,No violento
686,Si se papi,No violento
687,Pero así te amo miamor,No violento
688,Está poquito,No violento
689,Así que no puedo sacar a mi perro,No violento
690,Y no puedo dejarlo solo,No violento
691,Porke está enfermo,No violento
692,Mi hermano está aquí,No violento
693,Así te cuida,No violento
694,Pues ni pedo mi desayuno,No violento
695,Así que saca a tu perro,No violento
696,Me voy a llevar a la gris,No violento
697,Pero pontela bien,No violento
698,Pues va al revés para que te tape del sol,No violento
699,Amor no me se poner una gorra,No violento
700,Yo te amo mucho miamor,No violento
701,De verdad,No violento
702,Eso no pasará,No violento
703,Amor yo te amo más que a nada,No violento
704,Pero más o menos me lo sabía todo,No violento
705,Me ayudaron un poco,No violento
706,Esque tenía que grabar los audios,No violento
707,Y ahora me desperté porke mi hermano no para de llorar,No violento
708,Solo te lo mandé porke me da risa,No violento
709,Pero más o menos me lo sabía todo,No violento
710,Me ayudaron un poco,No violento
711,Amor enserio tengo que estudiar,No violento
712,Le tengo miedo a la avena molida,No violento
713,De avena,No violento
714,Yo desayuno eso,No violento
715,Pues haz un batido de banana con leche y avena,No violento
716,Cocina huevos,No violento
717,Así que ahora quiero desayunar,No violento
718,También quería la última vez eso pero sentía que me iba,No violento
719,Yo tengo que estudiar,No violento
720,Duerme papi,No violento
721,Que yo no fui,No violento
722,No es cierto mi amor,No violento
723,Voy a borrar,No violento
724,Te amo tanto papi,No violento
725,Por las caras,No violento
726,Pero me gustan mucho las caras que haces miamor,No violento
727,Porque te ries,No violento
728,Te amo demasiado,No violento
729,Porke censuras tu carita hermosa miamor,No violento
730,Yo quiero eso papi,No violento
731,Te amo mi niña me encantas,No violento
732,Le saqué eso a mi perro,No violento
733,Mentiroso si tienes el anillo,No violento
734,Holi mi amor ya llegue,No violento
735,Te extraño mcuhoooo,No violento
736,te extraño mucho,No violento
737,Ya ahora sí voy a estudiar,No violento
738,Amor me quiero pegar un tiro,No violento
739,Yo no sé nada de eso,No violento
740,Y no entiendo nada,No violento
741,Estaba viendo el grupo a ver qué dicen del examen,No violento
742,Pues la vemos,No violento
743,Donde la clase fue ver una pelicula,No violento
744,Amor yo te amo demasiado,No violento
745,Si lo suspendo puede que suspenda el tercer trimestre,No violento
746,Tengo que estudiar para un examen,No violento
747,Amor hoy no puedo hacer nada,No violento
748,Para quien era?,No violento
749,Que salgo temprano,No violento
750,Por si la quieres ver,No violento
751,Bueno que películas has visto,No violento
752,Pues no miamor,No violento
753,Solo que creía que sabías porque no dormi,No violento
754,está quiero ver contigo,No violento
755,No escuchabas lo que te decía entonces,No violento
756,Porque estoy loco,No violento
757,Porke no duermes temprano?,No violento
758,Porke dormiste a la 1?,No violento
759,Porque me golpearon,No violento
760,Que pasa mi amor?,No violento
761,Como estás papi?,No violento
762,Voy a lavar platos,No violento
763,Ya saqué a mi perro,No violento
764,Y voy a lavar platos y estudiar para el examen de mañana,No violento
765,Y tengo que ir a recoger a mi hermano,No violento
766,Te amo mucho corazón,No violento
767,Que si te amo miamor,No violento
768,Suerte papi,No violento
769,suerte amor,No violento
770,suerte bebe,No violento
771,suerte ,No violento
772,Gracias amor,No violento
773,gracias bebe,No violento
774,gracias corazon,No violento
775,gracias,No violento
776,Ya me voy te amo,No violento
777,Sip yo te explico,No violento
778,A mi me encanta escucharte dormir bb,No violento
779,Me lo explicas después,No violento
780,Limpia tu computadora amor,No violento
781,Ya mi amor es lo más romántico que he hecho por alguien,No violento
782,Estaba entrando a clase,No violento
783,Espera toy pensando,No violento
784,Te iba a hacer un código,No violento
785,Hay muchas formas mi cielo,No violento
786,También podrías ponerlo en codigo,No violento
787,Estoy hablando de WhatsApp,No violento
788,Pues ponlo que esperas amor,No violento
789,Dice que estoy casado amor,No violento
790,Por eso te digo que no quiero que me dejes,No violento
791,Me deje llevar,No violento
792,Tu estás en unión libre al parecer,No violento
793,Pero me refiero a malinterpretar tus palabras,No violento
794,Te lo prometo mi amor,No violento
795,Intentaré que no vuelva a pasar mi niña,No violento
796,Me gusta todo lo que me mandas,No violento
797,Tas enojada porque los borre,No violento
798,Ya lo borre,No violento
799,Que bonito se veeee,No violento
800,A ver miamor,No violento
801,Amore quieres ver algo ??,No violento
802,Voy a bañarme corazón,No violento
803,Tengo ir a bañarme,No violento
804,Donde estás?,No violento
805,Entra que te voy a decir te amoo,No violento
806,Está me la saqué en el bosque ,No violento
807,Por mi seguirías siendo mi mejor amigo,No violento
808,Creí que ya te habías mimido,No violento
809,Entonces como quedamos,No violento
810,Ya me voy a dormir,No violento
811,Quería dormir contigo,No violento
812,Ayer me dormí porke me cantaste,No violento
813,Entonces no escuchaste más,No violento
814,Creo que ya me prepararé para salir,No violento
815,Lo mejor es cantando una cancion,No violento
816,No me puedo mover me duele todo,No violento
817,Creo que descansare,No violento
818,Trabajaremos acá creo,No violento
819,No me sé la letra de las canciones,No violento
820,Cuántas vueltas hiciste?,No violento
821,Si trabajas tienes que descansar bien,No violento
822,Cuidate mucho por favor,No violento
823,Aaaa me duele toda la espalda,No violento
824,Y las piernas que pedo,No violento
825,Come come,No violento
826,Estaba dormida,No violento
827,Soñé con tu voz,No violento
828,Y me di cuenta que era un sueño,No violento
829,Y se verdad pensé que eras tú,No violento
830,No recuerdo por qué sueño,No violento
831,Se lo dijiste a alguien,No violento
832,No he soñado :( con ninguna persona,No violento
833,Pero fue reciente,No violento
834,Cómo soñaste con el reciente,No violento
835,Ten cuidado por favor,No violento
836,A tu tamToy cansado talvez solo cargue el troncobién?,No violento
837,No voy a cerruchar,No violento
838,Desde hace rato me está viendo,No violento
839,Tal vez está enfermita,No violento
840,Le pasa algo?,No violento
841,Te quiere mucho,No violento
842,La saqué hace rato pero,No violento
843,No está alborotada por salir,No violento
844,Tal vez solo te quiere mucho,No violento
845,Te tiene cariño,No violento
846,Así como yo te quiero mucho ella también,No violento
847,pues lo mismo :c,No violento
848,Los dos nos queremos mucho,No violento
849,Y nos cuidamos,No violento
850,Me refiero a que nos preocupamos,No violento
851,ojo me robas las palabras de la boca,No violento
852,No ví el mensaje deje abierto WhatsApp en el celular,No violento
853,Juegas con estos jovenes,No violento
854,Tú estás trabajando?,No violento
855,Y ahora te digo adios,No violento
856,Es la canción,No violento
857,Que haces niño?,No violento
858,Porque no querés jugar con ellos,No violento
859,Me comí un dulce,No violento
860,Acabo de romper mi diata,No violento
861,Bueno una gomita,No violento
862,No pasa nada por un dulce,No violento
863,Pero también me gustas tu,No violento
864,Esque no me divierte mucho los juegos que ellos juegan,No violento
865,Los tuyos si,No violento
866,Me gusta estar contigo,No violento
867,Se ve mejor en persona,No violento
868,Cuidate mucho,No violento
869,Pobre gallinita,No violento
870,Aún le queda tiempo por vivir,No violento
871,Me muero si haces eso,No violento
872,Por favor ten mucho cuidado,No violento
873,Holi ya termine,No violento
874,Que solo seremos tú y yo,No violento
875,Come mucho,No violento
876,Solo tu y yo mi niña hermosa,No violento
877,Me voy a morir de amor,No violento
878,Me encantas,No violento
879,Bueno niña hermosa el lunes regresas a la escuela,No violento
880,Te ayudaré en todo lo que pueda mi niña,No violento
881,No me sé las fiestas,No violento
882,Hablar con mi novio,No violento
883,Dime cómo quieras cariño,No violento
884,Cocina y que no se queme,No violento
885,Ahora sí tarde en comer :(,No violento
886,Te puedes enfermar,No violento
887,De que me puedo enfermar mi niña,No violento
888,Como anemia,No violento
889,Te amo mucho mi gordito hermoso,No violento
890,Pregunta pregunta,No violento
891,De una pesera,No violento
892,Dónde tienes que meter peses,No violento
893,Y te dan dinero,No violento
894,Y se puede con amigos y así,No violento
895,Tienes que encontrar llaves y así,No violento
896,Y también hay dos armas,No violento
897,Si quieres algún día lo probamos,No violento
898,Si no pues no,No violento
899,Te gusta mucho el miedo,No violento
900,Vieron que eres muy fuerte,No violento
901,Bueno no sé explicarme,No violento
902,Cuando puedas descansar descansa,No violento
903,Nunca has ido a una pijamada,No violento
904,Mis padres no nos dejan,No violento
905,Pobrecita mi niña,No violento
906,Miamor hermoso y precioso,No violento
907,Hasta mañana bb,No violento
908,Descansa,No violento
909,Y toma agua,No violento
910,Te amo mucho mucho,No violento
911,Hasta mañana mi amor,No violento
912,Descansa linda hermosa,No violento
913,Pobrecito mi amor,No violento
914,Espero descanses bien,No violento
915,Y no te preocupes,No violento
916,Ya me bañé,No violento
917,Si tienes que trabajar,No violento
918,Te amo mucho,No violento
919,Sólo cuidate y no te lastimes,No violento
920,Que guapo eres cosita hermosa,No violento
921,Y pensé que eso era un suéter o una sudadera,No violento
922,Estás muy lindo,No violento
923,Estás muy linda,No violento
924,Me explicas porke estás despierto?,No violento
925,Me invitaron a jugar,No violento
926,Trabajaste todo el día,No violento
927,Y me duermo,No violento
928,De verdad quieres eso?,No violento
929,Sólo quería que descanses bien,No violento
930,Weno amor,No violento
931,Yo voy a intentar dormir más,No violento
932,Así me siento exactamente,No violento
933,Cómo estás,No violento
934,Holi mi amor,No violento
935,Duerme más si quieres amor,No violento
936,Podría seguir durmiendo,No violento
937,Hoy vas a trabajar todo el día,No violento
938,No tengo sueño estoy cansado,No violento
939,Nop hoy toca seguir cortando,No violento
940,Hoy no vas a correr no?,No violento
941,Cuidate mucho por favor,No violento
942,Hoy tienes que comer 3 veces,No violento
943,Eso ya no va a pasar,No violento
944,Más te vale,No violento
945,Yo tendré cuidado,No violento
946,Holi holi aaa ya me quiero levantar,No violento
947,Vas a trabajar todo el día,No violento
948,Quieres jugar algo,No violento
949,Creo que tengo que lavar los platos,No violento
950,Era antes de ponernos a trabajar,No violento
951,No he comido aún no está la comida,No violento
952,Perdón por tardar,No violento
953,Más tarde o mañana seguimos viendo,No violento
954,Has tu tarea,No violento
955,no me va el internet del celular,No violento
956,Yo también te amo mi niña,No violento
957,Toy adolorido del cuerpo,No violento
958,Yo ahora estoy haciendo una mascarilla para el pelo,No violento
959,Estoy haciendo esto y lo dejo enfríar mientras me balo,No violento
960,Mi hermano se quedó dormido en el suelo,No violento
961,Cuídate tú también,No violento
962,quiquito,No violento
963,bombilla,No violento
964,loquito,No violento
965,come,No violento
966,escuela,No violento
967,trabajo,No violento
968,dinero,No violento
969,alimentos,No violento
970,comida,No violento
971,salir,No violento
972,parque,No violento
973,jugar ,No violento
974,comer,No violento
975,juntos ,No violento
976,que porcede,No violento
977,hermoso,No violento
978,princesa,No violento
979,bonito te ves,No violento
980,tenog que dormir ,No violento
981,mañana tengo trabajo,No violento
982,te adoro bb,No violento
983,Gracias mi niña hermosa,No violento
984,Mi corazón va a explotar de amor,No violento
985,Algún día,No violento
986,Primero me voy a poner eso,No violento
987,Pero resulta que no,No violento
988,Tengo casa sola miamor,No violento
989,Por eso tú me encantas,No violento
990,Tú eres tostadito,No violento
991,Pobrecito miamor,No violento
992,Así sentiré mejor tus manos,No violento
993,Estás acostado?,No violento
994,Yo también tengo frío,No violento
995,Y el que encuentre el haba tiene que comprar otra rosca,No violento
996,Aunque tengo mucho frío,No violento
997,Sigue enfermita mi bb,No violento
998,estoy enferma,No violento
999,Me muero de frio,No violento
1000,comigo,No violento
1001,ven comigo,No violento
